id,title,address,lat,lng,link,category,body,createdAt,updatedAt,
263,Alaska VegFest,"Anchorage, AK, USA",,,http://www.alaskavegfest.com/,n/a,,,,
264,VegFest Oahu,"Honolulu, HI, USA",,,http://vegfestoahu.com/,@vegfestoahu,,,,
265,Vegan Summer Festival London,"London, UK",,,http://vegansummerfestuk.com/,n/a,,,,
266,VON Manchester VEGAN FEST,"Manchester, UK",,,http://veganorganic.net/von-manchester-vegan-fest-2/,TK,,,,
267,Evesham Vegan Fair,"Evesham, UK",,,http://veganmidlands.org.uk,n/a,,,,
268,Edinburgh Ethical WinterFest,"Edinburgh, SCOTLAND",,,http://veganfestival.co.uk/,@Veganfestivaluk,,,,
269,Mad City Vegan Fest,"Madison, WI, USA",,,http://veganfest.org/,n/a,,,,
270,Baltimore VegFest,"Baltimore, MD, USA",,,TK,@baltimorevegfest,,,,
271,Tampa Bay VegFest,"Tampa, FL, USA",,,http://tampabayvegfest.org/,@tampabayvegfest,,,,
272,Lex Veg Fest,"Lexington, KY, USA",,,http://lexvegfest.org/,n/a,,,,
273,Fargo Moorhead VegFest,"Moorhead, MN, USA",,,TK,@fmvegfest,,,,
274,Dundee Vegan Fest,"Dundee, UK",,,http://dundeeveganfestival.co.uk,@DundeeVeganFest,,,,
275,NOLA Veggie Fest,"New Orleans, LA, USA",,,http://nolaveggiefest.com/,n/a,,,,
